Epoch,LR,Train Loss,Train Acc,Test Loss,Test Acc,Time(s)
1,0.016666666666666666,4.364955481872559,4.458,3.9887231567382813,8.6,230.17424631118774
2,0.03333333333333333,3.652461086654663,13.604,3.515004833984375,17.07,230.6762363910675
3,0.05,3.149155954437256,22.244,3.1904786987304687,24.02,230.41546773910522
4,0.06666666666666667,2.6612617818450928,31.178,2.9307726135253906,28.3,230.49013447761536
5,0.08333333333333334,2.275612718963623,39.17,2.921398583984375,31.36,230.58287525177002
6,0.1,1.998841212120056,45.256,2.535767462158203,38.84,230.4549150466919
7,0.11666666666666668,1.7837676089096068,50.442,2.6862394958496094,39.65,230.65980291366577
8,0.13333333333333333,1.6209406567764282,54.492,2.2737998352050783,44.39,230.49551439285278
9,0.15000000000000002,1.4859175923919679,57.928,2.0849572509765624,48.82,230.50389552116394
10,0.16666666666666669,1.3776880727767944,60.472,1.8800590393066405,52.34,230.70204210281372
11,0.18333333333333335,1.2897638583374023,62.568,1.9365832305908204,50.83,230.5760760307312
12,0.2,1.18295512298584,65.306,1.799275714111328,54.8,230.71822595596313
13,0.21666666666666667,1.1010999320220947,67.346,2.029480224609375,50.84,230.62382698059082
14,0.23333333333333336,1.0307945704841615,69.232,1.6874463531494142,56.04,230.55392479896545
15,0.25,0.9655752646255493,70.746,2.2903695617675783,51.8,230.54639077186584
16,0.26666666666666666,0.8916211280632019,73.126,1.611306787109375,59.71,230.58187532424927
17,0.2833333333333334,0.8421740014266967,74.512,1.8884782409667968,57.37,230.80050230026245
18,0.30000000000000004,0.7771377589607239,76.256,2.0052431579589842,54.04,230.52937936782837
19,0.31666666666666665,0.7336941172981262,76.986,1.7694630096435546,58.17,230.58905363082886
20,0.33333333333333337,0.6937839212417602,78.388,1.4757714538574218,62.7,230.63711619377136
21,0.35000000000000003,0.6462754245376587,79.844,1.526111181640625,62.46,230.57640194892883
22,0.3666666666666667,0.5786024799728393,81.466,1.6941440643310546,61.9,230.54216146469116
23,0.38333333333333336,0.5549243568229675,82.206,1.7088595672607423,61.69,230.61362624168396
24,0.4,0.5096427311134338,83.678,1.7799561889648436,61.49,230.4893834590912
25,0.3970588235294118,0.4634661497306824,84.864,1.4589190216064454,66.13,230.41419577598572
26,0.3941176470588236,0.4072783878517151,86.63,1.4073051177978515,67.06,230.41522073745728
27,0.3911764705882353,0.36284311239242556,88.14,1.5621092864990234,67.32,230.38856101036072
28,0.38823529411764707,0.30875643507957456,89.822,1.4831154357910157,67.45,230.3984694480896
29,0.38529411764705884,0.2755582228946686,90.904,1.5727143463134765,67.32,230.4269073009491
30,0.3823529411764706,0.2496954318523407,91.65,1.6629958770751954,66.13,230.486225605011
31,0.37941176470588234,0.21709726106643676,92.682,1.6183314575195313,67.88,230.35128498077393
32,0.3764705882352941,0.17994586102485657,93.934,1.6101091979980469,69.1,230.34113931655884
33,0.3735294117647059,0.16813269403457642,94.404,1.5515827667236328,69.86,230.31592559814453
34,0.37058823529411766,0.15960273832321167,94.678,1.6294067840576172,69.35,230.56124472618103
35,0.36764705882352944,0.1252869737148285,95.9,1.60720732421875,70.34,230.38247966766357
36,0.3647058823529412,0.12042501460552216,96.0,1.7317536376953124,69.7,230.2938368320465
37,0.361764705882353,0.09653363246440888,96.884,1.7189664123535155,70.53,230.45035600662231
38,0.35882352941176476,0.09786833783388138,96.776,1.6281422271728516,71.41,230.38931155204773
39,0.3558823529411765,0.08072277618408204,97.45,1.8792416717529297,69.57,230.42519569396973
40,0.35294117647058826,0.07842197754859924,97.486,1.6978474090576172,70.62,230.37973523139954
41,0.35000000000000003,0.06402183802604676,97.948,1.5943710327148437,72.37,230.36264514923096
42,0.3470588235294118,0.05390745365381241,98.326,1.6356517028808595,72.4,230.23502254486084
43,0.3441176470588236,0.050081570529937745,98.41,1.7132781066894531,71.97,230.15247249603271
44,0.3411764705882353,0.04793186292648315,98.462,1.7091504119873047,72.49,230.29577207565308
45,0.3382352941176471,0.05048761906385422,98.418,1.7372479431152343,71.53,230.31590056419373
46,0.33529411764705885,0.04631033568382263,98.574,1.7167625122070314,71.95,230.45034527778625
47,0.33235294117647063,0.0359097282576561,98.86,1.669643881225586,73.12,230.40487265586853
48,0.32941176470588235,0.03149528706789017,99.024,1.6885275451660156,73.84,230.4662425518036
49,0.3264705882352941,0.02273112451672554,99.346,1.680720751953125,73.62,230.44019055366516
50,0.3235294117647059,0.021042628492116928,99.406,1.6995030517578125,73.57,230.5581202507019
51,0.3205882352941177,0.02105469677567482,99.406,1.7362458068847657,73.95,230.42449283599854
52,0.3176470588235294,0.020722002236843107,99.452,1.716435629272461,73.94,230.44952702522278
53,0.31470588235294117,0.020289724693894385,99.45,1.7521034729003906,73.39,230.38902306556702
54,0.31176470588235294,0.019261691098511217,99.456,1.689011669921875,74.29,230.37429547309875
55,0.3088235294117647,0.011457141019701958,99.712,1.664829559326172,75.0,230.35728216171265
56,0.3058823529411765,0.010289095121622086,99.738,1.6939738250732421,74.82,230.2937753200531
57,0.30294117647058827,0.009242750905901194,99.756,1.7041767944335937,74.55,230.25508046150208
58,0.30000000000000004,0.009640849891901017,99.774,1.705114422607422,74.76,230.34336042404175
59,0.29705882352941176,0.007343765567243099,99.832,1.7199189849853516,74.75,230.3179361820221
60,0.29411764705882354,0.006573473029732704,99.854,1.7137148223876952,74.51,230.31814098358154
61,0.2911764705882353,0.006582383224219084,99.836,1.6901245635986328,75.52,230.44236660003662
62,0.2882352941176471,0.006100367590710521,99.852,1.7112492858886719,75.28,230.3753206729889
63,0.28529411764705886,0.004991115464195609,99.89,1.7381631744384765,75.43,230.3870460987091
64,0.28235294117647064,0.0045235440415889025,99.892,1.7211721069335937,75.5,230.33966588974
65,0.27941176470588236,0.003941786151304841,99.91,1.7085849487304687,75.74,230.4186589717865
66,0.27647058823529413,0.003216006391569972,99.93,1.7090858032226564,75.59,230.40803408622742
67,0.2735294117647059,0.0030332260466367006,99.926,1.7379475006103515,75.49,230.46451568603516
68,0.2705882352941177,0.0030941421122848986,99.944,1.7148888397216797,75.89,230.39585900306702
69,0.2676470588235294,0.0028007629293203356,99.944,1.718864810180664,75.6,230.45823526382446
70,0.2647058823529412,0.0023423301419615745,99.954,1.7156351135253907,75.72,230.38409233093262
71,0.26176470588235295,0.0021256654789671304,99.952,1.7380601867675782,75.87,230.42589592933655
72,0.25882352941176473,0.0022325726421363653,99.958,1.7280431121826172,75.81,230.39114356040955
73,0.25588235294117645,0.0018685528855212033,99.962,1.7219702819824219,76.09,230.39653491973877
74,0.2529411764705882,0.0020200593699142336,99.952,1.7294088928222657,75.99,230.42921113967896
75,0.25,0.0021732177859544754,99.956,1.7179315795898438,76.13,230.4089915752411
76,0.24705882352941178,0.0019108138535544276,99.942,1.730468991088867,76.51,230.44974040985107
77,0.24411764705882355,0.0017900468373298645,99.956,1.728408560180664,76.27,230.32852220535278
78,0.2411764705882353,0.0019326568823121487,99.954,1.721815985107422,76.6,230.30068016052246
79,0.23823529411764707,0.0017062120659649372,99.956,1.735120394897461,76.68,230.4483926296234
80,0.23529411764705885,0.0013545892603881657,99.966,1.7294874816894532,76.1,230.45053911209106
81,0.23235294117647062,0.0018024223056435586,99.956,1.741172232055664,76.33,230.3210473060608
82,0.22941176470588234,0.0013875763428024947,99.96,1.7283650024414063,76.36,230.47415733337402
83,0.22647058823529412,0.0009747098815441131,99.978,1.728471435546875,76.21,230.62196946144104
84,0.2235294117647059,0.0009850033351872117,99.976,1.736392514038086,76.37,230.4670262336731
85,0.22058823529411767,0.0011794224372133613,99.974,1.7460864196777344,76.37,230.5173532962799
86,0.21764705882352942,0.0009892006276082247,99.976,1.733691619873047,76.67,230.38405394554138
87,0.2147058823529412,0.000905135690215975,99.974,1.7352595489501954,76.49,230.38293266296387
88,0.21176470588235297,0.0009546776520181447,99.978,1.730891864013672,76.51,230.54134368896484
89,0.20882352941176474,0.0012005089192278684,99.97,1.7449110473632812,76.34,230.41287851333618
90,0.20588235294117646,0.000877051756232977,99.972,1.7456040954589844,76.44,230.48650693893433
91,0.20294117647058824,0.001132967682685703,99.97,1.7428881225585937,76.3,230.27102732658386
92,0.2,0.0007571589470468462,99.982,1.7510609436035156,76.38,230.40715789794922
93,0.1970588235294118,0.0010323741033300758,99.968,1.7440013031005859,76.32,230.29005575180054
94,0.19411764705882353,0.0008917183326091618,99.972,1.7447818328857423,76.5,230.47138571739197
95,0.1911764705882353,0.0008378772569727152,99.974,1.742591812133789,76.44,230.46660542488098
96,0.18823529411764706,0.0009028912978991866,99.97,1.7426442962646485,76.39,230.3963930606842
97,0.18529411764705883,0.0010466122668515892,99.964,1.749368212890625,76.37,230.54721593856812
98,0.1823529411764706,0.0009517539441166445,99.972,1.74691083984375,76.5,230.13217663764954
99,0.17941176470588238,0.0007113112945761531,99.982,1.7501084106445313,76.5,230.50675415992737
100,0.17647058823529413,0.0007925122374575585,99.972,1.7569051818847656,76.54,230.5253701210022
101,0.1735294117647059,0.0008728730881400407,99.972,1.7630427642822266,76.6,230.51663970947266
102,0.17058823529411765,0.000796257348805666,99.974,1.7594836822509765,76.47,230.4554579257965
103,0.16764705882352943,0.0008186820195382461,99.976,1.7581326995849609,76.54,230.49577140808105
104,0.16470588235294117,0.0007648626408167183,99.982,1.7642090606689453,76.51,230.69086241722107
105,0.16176470588235295,0.0008256903036031872,99.968,1.7623449340820312,76.5,230.4156789779663
106,0.1588235294117647,0.0009295818491652607,99.972,1.7606595458984375,76.56,230.35578799247742
107,0.15588235294117647,0.0007960567526798696,99.972,1.7664878204345704,76.49,230.33489394187927
108,0.15294117647058825,0.0006588154643774033,99.982,1.7628401489257812,76.65,230.38789820671082
109,0.15000000000000002,0.0007872232222650201,99.97,1.7612984191894532,76.56,230.45191383361816
110,0.14705882352941177,0.0008866502279601991,99.972,1.7600889251708984,76.57,230.52986764907837
111,0.14411764705882354,0.0005725839939247817,99.982,1.758688491821289,76.52,230.44789457321167
112,0.14117647058823532,0.0006715582770947367,99.978,1.7587575744628907,76.6,230.2757122516632
113,0.13823529411764707,0.000713392623802647,99.972,1.7637291290283204,76.65,230.45974802970886
114,0.13529411764705884,0.0007931264449376613,99.968,1.7606537719726563,76.53,230.4475612640381
115,0.1323529411764706,0.0006190340211382135,99.98,1.767763119506836,76.46,230.41586804389954
116,0.12941176470588237,0.0005632118744775653,99.98,1.7668289520263671,76.54,230.50410723686218
117,0.1264705882352941,0.0006203898629965261,99.98,1.7619122955322266,76.64,230.46154808998108
118,0.12352941176470589,0.0006687335449550301,99.968,1.7594197967529297,76.57,230.76098251342773
119,0.12058823529411765,0.000614902356415987,99.976,1.7672977722167968,76.68,230.527601480484
120,0.11764705882352942,0.0005475185230979695,99.98,1.76864677734375,76.69,230.4518404006958
121,0.11470588235294117,0.0006794951446773485,99.978,1.774950946044922,76.49,230.406751871109
122,0.11176470588235295,0.0005437953877076506,99.98,1.7769856628417968,76.52,230.46605277061462
123,0.10882352941176471,0.0005938734132517129,99.976,1.7805237548828126,76.61,230.35224390029907
124,0.10588235294117648,0.0005424826044798829,99.984,1.7723847045898438,76.47,230.5468029975891
125,0.10294117647058823,0.0005912363439798355,99.98,1.7682092834472656,76.53,230.26440167427063
126,0.1,0.0005322611442673951,99.974,1.7691407318115235,76.59,230.48859930038452
127,0.09705882352941177,0.000622699650041759,99.972,1.7757477020263672,76.68,230.42594933509827
128,0.09411764705882353,0.0005486221996229142,99.978,1.7759544158935547,76.61,230.44163966178894
129,0.0911764705882353,0.0005611699966574088,99.982,1.7762502838134766,76.57,230.34432458877563
130,0.08823529411764706,0.0005738582417741418,99.974,1.77482939453125,76.7,230.38052010536194
131,0.08529411764705883,0.0006582870831899345,99.972,1.7777606689453125,76.49,230.35137176513672
132,0.08235294117647059,0.0005683057592483238,99.978,1.7808447265625,76.52,230.5345962047577
133,0.07941176470588235,0.000602305305711925,99.974,1.7764613739013673,76.59,230.4558708667755
134,0.07647058823529412,0.0006201847506314516,99.974,1.780942514038086,76.76,230.52484369277954
135,0.07352941176470588,0.0005441629084199667,99.984,1.7777104187011719,76.64,230.41289019584656
136,0.07058823529411766,0.0006697210837900638,99.968,1.7793108520507812,76.54,230.30819368362427
137,0.06764705882352942,0.0005266421857313253,99.978,1.7775565185546875,76.65,230.45460414886475
138,0.06470588235294118,0.0005342964465916157,99.976,1.7770203155517579,76.61,230.21699786186218
139,0.061764705882352944,0.00048290561619680376,99.98,1.7782626831054686,76.55,230.43566465377808
140,0.05882352941176471,0.0004330077524296939,99.986,1.783533349609375,76.55,230.51277899742126
141,0.05588235294117647,0.0005005745685845613,99.984,1.7798871948242188,76.58,230.4367711544037
142,0.05294117647058824,0.00047308151626959444,99.98,1.7773177001953124,76.56,230.445458650589
143,0.05,0.0005033608356118202,99.984,1.7783399658203125,76.47,230.4189875125885
144,0.047058823529411764,0.0005968684751726686,99.972,1.7819439727783204,76.63,230.5025818347931
145,0.04411764705882353,0.0004996114565758035,99.98,1.777464324951172,76.55,230.4682297706604
146,0.041176470588235294,0.0005078754602279514,99.974,1.7781005310058593,76.57,230.43412613868713
147,0.03823529411764706,0.0004808410322666168,99.984,1.7834565521240235,76.54,230.4453501701355
148,0.03529411764705883,0.0005466130521893501,99.976,1.7828014862060546,76.57,230.32348585128784
149,0.03235294117647059,0.00047758742093108596,99.98,1.7842001556396485,76.49,230.36641192436218
150,0.029411764705882356,0.0005202993925660849,99.98,1.7842475646972655,76.47,230.3095338344574
151,0.02647058823529412,0.000485613517742604,99.984,1.7815121459960936,76.63,230.39113879203796
152,0.023529411764705882,0.0004705734860058874,99.98,1.7842442016601563,76.63,230.35769724845886
153,0.020588235294117647,0.00046396483312826606,99.982,1.7820316467285156,76.63,230.2815215587616
154,0.017647058823529415,0.0005469259402435273,99.974,1.7797486999511718,76.55,230.43080472946167
155,0.014705882352941178,0.0005296397288050502,99.976,1.7820420776367187,76.59,230.41931438446045
156,0.011764705882352941,0.0004611263857712038,99.978,1.7815566467285155,76.63,230.3171992301941
157,0.008823529411764707,0.0005055983045441099,99.976,1.7827198211669921,76.56,230.26462984085083
158,0.0058823529411764705,0.000431267266664654,99.986,1.7856381622314452,76.57,230.47035312652588
159,0.0029411764705882353,0.00044165570258162916,99.99,1.7797987213134765,76.67,230.32260131835938
160,0.0,0.0004415917193563655,99.978,1.7819627319335938,76.57,230.38409447669983
